finish_id,color_brand,color_collection,color_name,color_code,color_chip_url,medium,substrate,shop_product_line,shop_sku,vendor,vendor_sku,cost_per_unit,cost_unit,waste_factor,eligible_for_prime,recommended_slot,max_sheen,notes,active
PAINT_SW_ALABASTER,Sherwin-Williams,Emerald Designer,Alabaster,SW 7008,,Paint,MDF,ML Campbell Eurobild,EUR-ALABASTER-MATTE,Sherwin Pro,SW-7008-EUR,45.50,per_gallon,0.15,TRUE,PAINT,Satin,Match to SW 7008 Alabaster chip. Use on MDF only.,TRUE
PAINT_SW_URBANEBRONZE,Sherwin-Williams,Emerald Designer,Urbane Bronze,SW 7048,,Paint,Select Alder,ML Campbell Eurobild,EUR-URBANEBRONZE-SATIN,Sherwin Pro,SW-7048-EUR,48.75,per_gallon,0.15,TRUE,PAINT,Semi-Gloss,Match to SW 7048 Urbane Bronze. Island accent color.,TRUE
PAINT_VALSPAR_SNOWBOUND,Valspar,HGTV Home,Snowbound,Valspar 7006-1,,Paint,MDF,Valspar Cabinet Paint,VAL-SNOWBOUND-MATTE,Valspar Pro,V-7006-1-CAB,42.00,per_gallon,0.15,TRUE,PAINT,Matte,Match to Valspar Snowbound. Prime program standard white.,TRUE
STAIN_SW_DRIFTWOOD_ALDER,Sherwin-Williams,ProClassic,Driftwood,SW 6078,,Stain,Select Alder,Mohawk Ultra,STN-MOH-DRIFTWOOD-ALDER,Mohawk Finishes,MOH-6078-ALDER,38.25,per_gallon,0.20,TRUE,STAIN,Satin,Driftwood on Select Alder. Most popular stain option.,TRUE
STAIN_SW_URBANEBRONZE_ALDER,Sherwin-Williams,ProClassic,Urbane Bronze,SW 7048,,Stain,Select Alder,Mohawk Ultra,STN-MOH-URBANEBRONZE-ALDER,Mohawk Finishes,MOH-7048-ALDER,41.50,per_gallon,0.20,TRUE,STAIN,Satin,Urbane Bronze stain on Select Alder. Rich brown tone.,TRUE
STAIN_RODDA_ESPRESSO_ALDER,Rodda,Professional Series,Espresso,ROD-ESP-ALDER,,Stain,Knotty Alder,ML Campbell ProLuxe,STN-MLC-ESPRESSO-ALDER,Rodda Paint,ROD-ESP-PRO,39.75,per_gallon,0.20,TRUE,STAIN,Semi-Gloss,Espresso on Knotty Alder. Dark chocolate finish.,TRUE
MEL_TAFISA_SNOWWHITE,Tafisa,Viva,Snow White,L557,,Melamine,TFL 3/4 PB,Tafisa Viva,MEL-TAF-L557-SNOWWHITE,Hardware Hut,TAF-VIVA-L557,12.50,per_sheet,0.10,TRUE,MEL,,Snow White textured melamine. Prime program standard.,TRUE
MEL_TAFISA_URBANBRONZE,Tafisa,Viva,Urban Bronze,L892,,Melamine,TFL 3/4 PB,Tafisa Viva,MEL-TAF-L892-URBANBRONZE,Hardware Hut,TAF-VIVA-L892,14.25,per_sheet,0.10,TRUE,MEL,,Urban Bronze melamine board. Matches SW Urbane Bronze visually.,TRUE
MEL_WILSONART_DRIFTWOOD,Wilsonart,Classic,Driftwood,7816,,Melamine,TFL 3/4 PB,Wilsonart TFL,MEL-WIL-7816-DRIFTWOOD,Moulding Outlet,WIL-7816-TFL,13.75,per_sheet,0.10,TRUE,MEL,,Driftwood textured melamine. Matches SW Driftwood stain color.,TRUE

